id,title,content
1,第十六条 缓考,学生因公、因病，或同时修读的不同课程考核时间冲突或因其它不可抗拒的因素，不能参加课程正常考核，经批准可办理缓考手续。缓考与补考同时进行。
2,第十七条 缺考,学生无故不参加课程正常考核视为缺考，缺考学生不得通过参加相关课程的补考或缓考取得该课程学分，应当进行重修。
3,第十八条 学分绩点,学生对课程的学习质量用学分绩点表示，学分绩点反映了学生学业水平的差异。平均学分绩点可用作对学生进行排名、奖励、评价和推荐选拔的依据。学分绩点的计算方法如下：（一）课程绩点（以课程成绩百分制计算）：课程绩点=(课程成绩 ÷10)−5 课程成绩不足 60 分的，课程绩点为 0；采用优秀、良好、中等、及格、不及格五级记分制的，课程绩点分别为：4.5、3.5、2.5、1.5、0。（二）课程学分绩点：课程学分绩点=课程绩点×课程学分数（三）平均学分绩点：平均学分绩点=符合条件的课程学分绩点之和÷相同条件的课程学分之和。平均学分绩点计算的课程范围由学院规定，计算结果用于评价同一时段内学生学习质量的优劣。
4,第十九条,缺考和补考不合格的课程，课程绩点为 0；补考或重修合格的课程，无论成绩高低，课程绩点为 1；缓考、免修的课程，按照第十八条的方法如实计算课程绩点。
5,第二十条 成绩记载,学生考核成绩记入本人档案。重修的课程按最好成绩记载，成绩登记在重修序列下面，课程学分数不变。
